num1,num2,lift,joint_prob,both_count,expected_prob
19,23,0.8603756157635468,0.028985507246376812,18,0.033689363942111965
5,7,0.8602509778357236,0.027375201288244767,17,0.03182234254137916
8,15,0.8593668915412558,0.03864734299516908,24,0.04497187799015146
15,27,0.8584565452578433,0.037037037037037035,23,0.043143752868600595
10,20,0.8579439252336449,0.027375201288244767,17,0.03190791435557941
1,26,0.8564895470383275,0.030595813204508857,19,0.03572234280068769
19,26,0.8564895470383275,0.030595813204508857,19,0.03572234280068769
19,31,0.8564895470383275,0.030595813204508857,19,0.03572234280068769
27,36,0.8557255064076063,0.0322061191626409,20,0.037636039736438816
21,29,0.8553719008264461,0.0322061191626409,20,0.03765159824811159
15,37,0.8551952076017352,0.0322061191626409,20,0.03765937750394797
14,24,0.8545871559633028,0.028985507246376812,18,0.03391755544664597
4,33,0.8545218255485055,0.028985507246376812,18,0.033920148531924765
30,31,0.8544090056285177,0.03542673107890499,22,0.041463433607941066
30,36,0.8544090056285177,0.03542673107890499,22,0.041463433607941066
14,33,0.8541262135922331,0.027375201288244767,17,0.03205053404591317
14,37,0.8541262135922331,0.027375201288244767,17,0.03205053404591317
18,37,0.8541262135922331,0.027375201288244767,17,0.03205053404591317
9,32,0.853225806451613,0.037037037037037035,23,0.04340824756703773
5,16,0.853021978021978,0.024154589371980676,15,0.028316491244447555
15,34,0.8524365133836649,0.03864734299516908,24,0.04533750301446164
16,27,0.8520581113801452,0.027375201288244767,17,0.03212832660427704
2,31,0.8497947355711182,0.027375201288244767,17,0.032213898418477285
8,20,0.8493275586961477,0.028985507246376812,18,0.034127595354228414
7,17,0.8488244942591578,0.0322061191626409,20,0.03794202379933669
11,34,0.8481399583766909,0.033816425120772944,21,0.03987127924676059
6,35,0.8479338842975207,0.030595813204508857,19,0.03608278165444027
13,17,0.8469520872865274,0.037037037037037035,23,0.04372979014160839
2,24,0.846125896993369,0.024154589371980676,15,0.028547275834260363
5,21,0.8459134615384615,0.027375201288244767,17,0.03236170427936864
4,28,0.8430627206081998,0.0322061191626409,20,0.038201332327216245
2,32,0.8429415522197382,0.027375201288244767,17,0.03247580003163564
11,20,0.8424781429002111,0.028985507246376812,18,0.03440505547905954
18,31,0.8414634146341463,0.0322061191626409,20,0.03827393871502252
21,36,0.8414634146341463,0.0322061191626409,20,0.03827393871502252
22,29,0.8413494106489634,0.0322061191626409,20,0.038279124885580114
23,35,0.8406241094328869,0.030595813204508857,19,0.03639654497317453
5,9,0.8403846153846154,0.030595813204508857,19,0.036406917314289716
5,29,0.8389224411951685,0.027375201288244767,17,0.032631385148363376
10,37,0.8388349514563108,0.02576489533011272,16,0.030715095127333447
14,16,0.837857142857143,0.027375201288244767,17,0.0326728745128241
14,30,0.8359615384615384,0.033816425120772944,21,0.040452130349210795
31,35,0.8345091715379963,0.0322061191626409,20,0.03859288820431438
10,36,0.8341463414634147,0.030595813204508857,19,0.03667919126856325
36,37,0.8332938669192519,0.027375201288244767,17,0.03285179739706099
4,9,0.8330708661417323,0.037037037037037035,23,0.044458447104949936
6,30,0.8307692307692306,0.0322061191626409,20,0.03876662491799368
1,20,0.8291054739652871,0.02576489533011272,16,0.031075533981086034
29,30,0.8290527654164016,0.033816425120772944,21,0.040789231435454223
2,15,0.8285232778597008,0.030595813204508857,19,0.03692812745532763
11,29,0.8277792588643028,0.0322061191626409,20,0.03890665152304864
29,32,0.8277792588643028,0.0322061191626409,20,0.03890665152304864
2,5,0.8276846915460777,0.02254428341384863,14,0.0272377677684686
22,36,0.8276689324270291,0.0322061191626409,20,0.03891183769360623
28,31,0.8269554247266611,0.030595813204508857,19,0.036998140757855104
28,36,0.8269554247266611,0.030595813204508857,19,0.036998140757855104
32,33,0.8265737550892579,0.027375201288244767,17,0.033118885180776936
34,37,0.8265737550892579,0.027375201288244767,17,0.033118885180776936
15,19,0.8257978723404255,0.033816425120772944,21,0.04095000272273954
25,26,0.8252814258911821,0.027375201288244767,17,0.033170746886352846
6,7,0.8237288135593219,0.028985507246376812,18,0.0351881672332558
15,36,0.8235599377270368,0.037037037037037035,23,0.04497187799015146
2,19,0.8234618104667609,0.024154589371980676,15,0.029332980673735416
4,20,0.8225770844065053,0.028985507246376812,18,0.03523743585355291
