number,feature,corr,p_value,abs_corr,p_adj
12,moon_age,-0.012749495567796901,0.7511764030882867,0.012749495567796901,0.9789849902354545
13,temp,0.00359937555736509,0.9286721946903052,0.00359937555736509,0.9789849902354545
13,temp_diff,0.019138339578036005,0.6340689075256436,0.019138339578036005,0.9789849902354545
10,moon_cos,-0.0036793191329520074,0.9270923335103963,0.0036793191329520074,0.9789849902354545
7,moon_age,-0.016069474614147566,0.6894008832897928,0.016069474614147566,0.9789849902354545
7,pressure_diff,0.008316396201964206,0.8361429709469583,0.008316396201964206,0.9789849902354545
7,pressure,0.011464262526525465,0.7755508822926906,0.011464262526525465,0.9789849902354545
1,temp_diff,-0.019139788910925493,0.6340432218013489,0.019139788910925493,0.9789849902354545
1,humidity,-0.027231102657178378,0.49818137957158837,0.027231102657178378,0.9789849902354545
1,humidity_diff,0.010023060958288504,0.8031469675537802,0.010023060958288504,0.9789849902354545
1,moon_cos,-0.015372532620490261,0.7022148860176664,0.015372532620490261,0.9789849902354545
2,temp_diff,-0.006032120056663669,0.8807502833342651,0.006032120056663669,0.9789849902354545
2,pressure_diff,0.012159385556691991,0.7623387575432087,0.012159385556691991,0.9789849902354545
3,temp,0.00851168168390188,0.8323516202775166,0.00851168168390188,0.9789849902354545
3,pressure,0.02519391282943434,0.5308797510263794,0.02519391282943434,0.9789849902354545
3,pressure_diff,0.009034253363936283,0.8222255532135945,0.009034253363936283,0.9789849902354545
3,humidity_diff,0.021288602558427173,0.5964583615201106,0.021288602558427173,0.9789849902354545
3,moon_sin,0.004724611698252867,0.9064637151559654,0.004724611698252867,0.9789849902354545
4,pressure,-0.008893870564598364,0.8249429769825777,0.008893870564598364,0.9789849902354545
4,moon_cos,0.011755173744646706,0.7700134322480856,0.011755173744646706,0.9789849902354545
5,temp,-0.002300340151893637,0.9543788977053435,0.002300340151893637,0.9789849902354545
5,pressure,-0.01781348100127957,0.6577292458013806,0.01781348100127957,0.9789849902354545
5,pressure_diff,0.017166457129547376,0.6694117492863975,0.017166457129547376,0.9789849902354545
5,humidity,0.008521412054342752,0.832162811910273,0.008521412054342752,0.9789849902354545
5,humidity_diff,-0.019413818659397127,0.6291946756529333,0.019413818659397127,0.9789849902354545
6,temp,-0.020468441156912258,0.6106845174885625,0.020468441156912258,0.9789849902354545
6,moon_sin,-0.02601693197727855,0.5175401031042107,0.02601693197727855,0.9789849902354545
6,moon_cos,0.024117567681404394,0.5485841661776197,0.024117567681404394,0.9789849902354545
7,temp,-0.02414880384620354,0.5480663046357195,0.02414880384620354,0.9789849902354545
7,temp_diff,-0.021974184877054978,0.5846833942661187,0.021974184877054978,0.9789849902354545
25,moon_age,0.01638358257589403,0.6836543432648556,0.01638358257589403,0.9789849902354545
13,humidity_diff,-0.016626549588184693,0.6792217961472523,0.016626549588184693,0.9789849902354545
13,humidity,0.018603407219769115,0.64357903450026,0.018603407219769115,0.9789849902354545
14,pressure,-0.01871230383273255,0.6416382573923733,0.01871230383273255,0.9789849902354545
20,humidity_diff,0.0047422688271020795,0.9061157560920057,0.0047422688271020795,0.9789849902354545
20,moon_age,0.009618048616934875,0.8109480422654984,0.009618048616934875,0.9789849902354545
20,moon_sin,0.021637649814452237,0.5904499580926281,0.021637649814452237,0.9789849902354545
20,moon_cos,-0.011098675832662478,0.7825259123211139,0.011098675832662478,0.9789849902354545
21,pressure_diff,0.004932028898448727,0.9023774098334816,0.004932028898448727,0.9789849902354545
21,moon_age,0.009946170347368655,0.8046265043668449,0.009946170347368655,0.9789849902354545
21,moon_sin,0.025436025603108637,0.5269375470235114,0.025436025603108637,0.9789849902354545
22,temp_diff,-0.004544111752518126,0.9100217413719957,0.004544111752518126,0.9789849902354545
22,pressure,-0.01380561059639037,0.7313297053616011,0.01380561059639037,0.9789849902354545
22,humidity,0.004590313744176039,0.9091108304999904,0.004590313744176039,0.9789849902354545
13,moon_age,0.003879543901555137,0.923136722786543,0.003879543901555137,0.9789849902354545
